File Name,MD5 Signature,Compressed Size (bytes),Size (bytes)
ApplicationConfig.zip,75794139eed5209a15739a841d7df69c,401,397
BuiltInPlugins.zip,6d8c8081ac25ff4c53a869176a52d69c,23383180,30312152
BuiltInStandalonePlugins.zip,9679d7bac3b03e1f82e7b4eb3532c016,2826718,3747392
Plugins.zip,73ce6f743c69f5bb22a04582114204dd,931549,2058528
Qml.zip,8f7983de722659b080885857b02cec39,2954854,8067100
StudioFonts.zip,35eb97ff0ea9482c1673bd602b6cabd7,947488,1990526
WebView2.zip,e983bf5182559672c0e16c42c81ecf41,81240,158648
WebView2RuntimeInstaller.zip,f8824ac073c58eaa74bda3e17b224843,1486913,1589429
RobloxStudio.zip,eb44fa755ef7ecd300285669d6435872,56574869,108638271
Libraries.zip,b279a21bc7ee2470d7ba33e1af3f291e,7268326,18051360
LibrariesQt5.zip,106510579c543db49bb672d1f3632c53,13309829,32283320
content-avatar.zip,2c5fda69542775ba62e45bc045109d14,433218,1280983
content-configs.zip,cd6e0751db601f1a824e731e4cdff4b9,45928,433048
content-fonts.zip,088421f57a5391c690afd2fd76c71144,5712171,11658993
content-models.zip,630ac439d82721cbf72292f42fab7f6b,450346,1470016
content-qt_translations.zip,68c77aa0a773b457aeaeb589aa732240,570252,1917899
content-sky.zip,1d0390337d1a4a58e5514be1a9481ad6,2448711,4304365
content-sounds.zip,cd77e0e77d698260809f8ae8b3993740,373629,393784
shaders.zip,100e19a9b4edcee0300d537dc8151125,2759378,17631800
ssl.zip,06ff877b0727e8184393d4d14cb6caf3,126038,219955
content-textures2.zip,052f94e7c242fe21f1887178082c71ec,8608733,9594785
content-textures3.zip,7ad5a15cb63aca299d9dd35cd6c9a50f,28516580,46537508
content-studio_svg_textures.zip,68fd7ed34c5c02f974cf1cc5781db871,1544427,1291612
content-terrain.zip,834036d8093b692d6f51fc92001656f9,31003769,42671481
content-platform-fonts.zip,8f379ec2b22ff106b837d79f7fdbf0d8,13686751,16427228
content-api-docs.zip,2ad4c424df19e354ae2aa5941c44bbe9,4418703,45103352
extracontent-scripts.zip,04a5c50f340a7432a77a814d8430aae7,2986882,9643297
extracontent-luapackages.zip,e03a8043c7ae987574bfc2ec875470fe,15175827,31791760
extracontent-translations.zip,7f8e95e260d9e76e1f23b5b597949ef7,165255,602997
extracontent-models.zip,355f7388fa1cf27850d4e859dfe9f7fa,7843439,9612101
extracontent-textures.zip,bfd1f7ea988caf88e6db17dd5aa18085,7866409,7923216
redist.zip,c9622ecfbec2c14d30f390909c563124,1372275,3196216
